"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Alabama A & M University","4900 Meridian Street, Normal, Alabama 35762","www.aamu.edu/","4-year, Public","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Midsize","Yes","6007","5206","27%","34%","Fall 2016","$14,600","-","100654","00100200"
"Alabama State University","915 S Jackson Street, Montgomery, Alabama 36104-0271","www.alasu.edu/","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","3828","3296","28%","35%","Fall 2016","$13,176","-","100724","00100500"
"Albany State University","504 College Drive, Albany, Georgia 31705","https://www.asurams.edu/","4-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate","City: Small","Yes","6334","5812","28%","39%","Fall 2016","$14,672","-","138716","00154400"
"Alcorn State University","1000 ASU Dr Ste 359, Alcorn State, Mississippi 39096-7500","www.alcorn.edu/","4-year, Public","Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - professional practice","Rural: Remote","Yes","2933","2431","47%","NA","Fall 2016","$14,864","-","175342","00239600"
"Allen University","1530 Harden Street, Columbia, South Carolina 29204","https://www.allenuniversity.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Midsize","Yes","657","603","8%","NA","Fall 2016","$13,774","-","217624","00341700"
"American Baptist College","1800 Baptist World Ctr Dr, Nashville, Tennessee 37207-9980","www.abcnash.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","City: Large","Yes","53","53","25%","33%","Fall 2016","$17,375","-","219505","01046000"
"Arkansas Baptist College","1600 Dr. Martin Luther King Jr. Drive, Little Rock, Arkansas 72202-6068","https://www.arkansasbaptist.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","City: Midsize","Yes","497","497","8%","NA","Fall 2016","$13,309","-","106306","00108700"
"Benedict College","1600 Harden Street, Columbia, South Carolina 29204-1086","www.benedict.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Midsize","Yes","1840","1796","20%","32%","Fall 2016","$17,845","-","217721","00342000"
"Bennett College","900 E Washington St, Greensboro, North Carolina 27401-3239","https://www.bennett.edu/","4-year, Private not-for-profit","Bachelor's degree","City: Large","Yes","168","168","19%","58%","Fall 2016","$20,545","-","197993","00291100"
"Bethune-Cookman University","640 Dr Mary McLeod Bethune Blvd, Daytona Beach, Florida 32114-3099","https://www.cookman.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Small","Yes","2727","2628","35%","15%","Fall 2016","$15,769","-","132602","00146700"
